raceId;year;round;circuitId;name;date;time
202;1998;12;11;Hungarian Grand Prix;16.08.98;X
203;1998;13;13;Belgian Grand Prix;30.08.98;X
204;1998;14;14;Italian Grand Prix;13.09.98;X
205;1998;15;20;Luxembourg Grand Prix;27.09.98;X
206;1998;16;22;Japanese Grand Prix;01.11.98;X
207;1997;1;1;Australian Grand Prix;09.03.97;X
208;1997;2;18;Brazilian Grand Prix;30.03.97;X
209;1997;3;25;Argentine Grand Prix;13.04.97;X
210;1997;4;21;San Marino Grand Prix;27.04.97;X
211;1997;5;6;Monaco Grand Prix;11.05.97;X
212;1997;6;4;Spanish Grand Prix;25.05.97;X
213;1997;7;7;Canadian Grand Prix;15.06.97;X
214;1997;8;8;French Grand Prix;29.06.97;X
215;1997;9;9;British Grand Prix;13.07.97;X
216;1997;10;10;German Grand Prix;27.07.97;X
217;1997;11;11;Hungarian Grand Prix;10.08.97;X
218;1997;12;13;Belgian Grand Prix;24.08.97;X
219;1997;13;14;Italian Grand Prix;07.09.97;X
220;1997;14;23;Austrian Grand Prix;21.09.97;X
221;1997;15;20;Luxembourg Grand Prix;28.09.97;X
222;1997;16;22;Japanese Grand Prix;12.10.97;X
223;1997;17;26;European Grand Prix;26.10.97;X
224;1996;1;1;Australian Grand Prix;10.03.96;X
225;1996;2;18;Brazilian Grand Prix;31.03.96;X
226;1996;3;25;Argentine Grand Prix;07.04.96;X
227;1996;4;20;European Grand Prix;28.04.96;X
228;1996;5;21;San Marino Grand Prix;05.05.96;X
229;1996;6;6;Monaco Grand Prix;19.05.96;X
230;1996;7;4;Spanish Grand Prix;02.06.96;X
231;1996;8;7;Canadian Grand Prix;16.06.96;X
232;1996;9;8;French Grand Prix;30.06.96;X
233;1996;10;9;British Grand Prix;14.07.96;X
234;1996;11;10;German Grand Prix;28.07.96;X
235;1996;12;11;Hungarian Grand Prix;11.08.96;X
236;1996;13;13;Belgian Grand Prix;25.08.96;X
237;1996;14;14;Italian Grand Prix;08.09.96;X
238;1996;15;27;Portuguese Grand Prix;22.09.96;X
239;1996;16;22;Japanese Grand Prix;13.10.96;X
240;1995;1;18;Brazilian Grand Prix;26.03.95;X
241;1995;2;25;Argentine Grand Prix;09.04.95;X
242;1995;3;21;San Marino Grand Prix;30.04.95;X
243;1995;4;4;Spanish Grand Prix;14.05.95;X
244;1995;5;6;Monaco Grand Prix;28.05.95;X
245;1995;6;7;Canadian Grand Prix;11.06.95;X
246;1995;7;8;French Grand Prix;02.07.95;X
247;1995;8;9;British Grand Prix;16.07.95;X
248;1995;9;10;German Grand Prix;30.07.95;X
249;1995;10;11;Hungarian Grand Prix;13.08.95;X
250;1995;11;13;Belgian Grand Prix;27.08.95;X
251;1995;12;14;Italian Grand Prix;10.09.95;X
